Ýlçe, Mahalle, Net Metrekare, Oda Sayýsý, Bulunduðu Kat, Isýtma Tipi, Eþya Durumu, Konut Tipi, Brüt Metrekare, Bina Yaþý, Binanýn Kat Sayýsý, Site Ýçerisinde, Fiyat
Esenyurt , Yenikent Mahallesi,90,2+1,2,Kombi Doðalgaz,Boþ,Daire,95,10,5,Hayýr,14000
Esenyurt , Talatpaþa Mahallesi,80,2+1,0,Kombi Doðalgaz,Boþ,Daire,100,10,6,Hayýr,9000
Esenyurt , Üçevler Mahallesi,120,3+1,3,Kombi Doðalgaz,Boþ,Daire,125,20,3,Hayýr,12000
Esenyurt , Talatpaþa Mahallesi,90,2+1,0,Kombi Doðalgaz,Boþ,Daire,130,10,4,Hayýr,13500
Esenyurt , Saadetdere Mahallesi,95,2+1,0,Kombi Doðalgaz,Boþ,Daire,110,10,5,Hayýr,12000
Esenyurt , Yeþilkent Mahallesi,85,2+1,5,Kombi Doðalgaz,Boþ,Daire,90,4,6,Hayýr,12000
Esenyurt , Yunus Emre Mahallesi,70,2+1,2,Kombi Doðalgaz,Boþ,Daire,75,4,4,Hayýr,8000
Esenyurt , Barbaros Hayrettin Paþa Mahallesi,35,Stüdyo,5,Merkezi (Pay Ölçer),Boþ,Daire,45,10,10,Hayýr,7500
Esenyurt , Selahaddin Eyyubi Mahallesi,125,3+1,2,Kombi Doðalgaz,Boþ,Hayýr,Daire,130,10,4,12000
Esenyurt , Balýkyolu Mahallesi,100,2+1,1,Kombi Doðalgaz,Boþ,Hayýr,Daire,110,10,6,13000
Esenyurt , Mehterçeþme Mahallesi,80,2+1,4,Kombi Doðalgaz,Boþ,Daire,85,10,4,Hayýr,11000
Esenyurt , Mehmet Akif Ersoy Mahallesi,100,2+1,1,Kombi Doðalgaz,Boþ,Daire,110,10,5,Hayýr,14000
Esenyurt , Mehterçeþme Mahallesi,90,2+1,1,Kombi Doðalgaz,Boþ,Daire,105,10,5,Hayýr,10000
Esenyurt , Güzelyurt Mahallesi,110,2+1,3,Kombi Doðalgaz,Boþ,Daire,120,10,6,Hayýr,14000
Esenyurt , Güzelyurt Mahallesi,120,3+1,1,Kombi Doðalgaz,Boþ,Daire,125,4,6,Hayýr,16000
Esenyurt , Güzelyurt Mahallesi,95,2+1,0,Kombi Doðalgaz,Boþ,Daire,100,4,6,Hayýr,10000
Esenyurt , Mehmet Akif Ersoy Mahallesi,100,2+1,0,Kombi Doðalgaz,Boþ,Daire,105,4,4,Hayýr,12000
Esenyurt , Yunus Emre Mahallesi,100,2+1,2,Kombi Doðalgaz,Boþ,Daire,110,2,4,Hayýr,14000
Esenyurt , Saadetdere Mahallesi,90,2+1,0,Kombi Doðalgaz,Boþ,Daire,100,10,5,Hayýr,11000
Esenyurt , Üçevler Mahallesi,95,2+1,2,Kombi Doðalgaz,Boþ,Daire,100,0,6,Hayýr,10000
Esenyurt , Yeþilkent Mahallesi,110,2+1,5,Kombi Doðalgaz,Boþ,Daire,115,0,24,Hayýr,12000
Esenyurt , Yeþilkent Mahallesi,85,1+1,5,Kombi Doðalgaz,Boþ,Daire,90,0,24,Hayýr,8000
Esenyurt , Mehterçeþme Mahallesi,70,1+1,0,Kombi Doðalgaz,Boþ,Daire,75,0,5,Hayýr,10000
Esenyurt , Þehier Mahallesi,85,2+1,0,Kombi Doðalgaz,Boþ,Hayýr,Daire,90,10,5,8000
Esenyurt , Balýkyolu Mahallesi,80,2+1,0,Kombi Fueloil,Boþ,Hayýr,Daire,100,10,5,10000
Esenyurt , Hürriyet Mahallesi,85,2+1,0,Kombi Doðalgaz,Boþ,Daire,95,10,5,Hayýr,9500
Esenyurt , Akþemseddin Mahallesi,90,2+1,1,Doðalgaz Sobalý,Boþ,Daire,100,15,1,Hayýr,12500
Esenyurt , Namýk Kemal Mahallesi,112,2+1,4,Kombi Doðalgaz,Boþ,Daire,121,25,5,Hayýr,11500
Esenyurt , Mehterçeþme Mahallesi,80,2+1,0,Kombi Doðalgaz,Boþ,Daire,90,10,4,Hayýr,7000
Esenyurt , Orhan Gazi Mahallesi,85,2+1,Bodrum Kat,Kombi Doðalgaz,Boþ,Daire,100,10,5,Hayýr,8500
Esenyurt , Ýncirtepe Mahallesi,80,2+1,1,Kombi Doðalgaz,Boþ,Daire,90,4,4,Hayýr,12000
Esenyurt , Zafer Mahallesi,70,1+1,10,Merkezi Doðalgaz,Boþ,Daire,95,10,20,Hayýr,9500
Esenyurt , Mehmet Akif Ersoy Mahallesi,60,2+1,0,Kombi Doðalgaz,Boþ,Daire,75,10,5,Hayýr,12000
Esenyurt , Ýncirtepe Mahallesi,129,3+1,3,Merkezi Doðalgaz,Boþ,Daire,130,10,5,Hayýr,16000
Esenyurt , Saadetdere Mahallesi,90,2+1,0,Kombi Doðalgaz,Hayýr,Daire,100,10,5,Boþ,12000
Esenyurt , Üçevler Mahallesi,90,2+1,0,Kombi Doðalgaz,Boþ,Daire,100,4,5,Hayýr,10000
Esenyurt , Üçevler Mahallesi,85,2+1,0,Kombi Doðalgaz,Boþ,Daire,90,0,4,Hayýr,7500
Esenyurt , Güzelyurt Mahallesi,120,3+1,0,Kombi Doðalgaz,Boþ,Daire,130,15,4,Hayýr,10000
Esenyurt , Zafer Mahallesi,95,2+1,3,Sobalý,Boþ,Daire,110,15,5,Hayýr,10000
Esenyurt , Yeþilkent Mahallesi,115,3+1,0,Kombi Doðalgaz,Boþ,Daire,125,3,4,Hayýr,13000
Esenyurt , Saadetdere Mahallesi,65,2+1,2,Kombi Doðalgaz,Hayýr,Daire,70,10,4,Boþ,10900
